zip,County Name,2010_pop,2015_pop,%pop_change,%pop_size,med_age,HS_higher,med_inc,pov_level,,,,,,
10033,New York,53926,59844,0.11,0.007,35.8,0.71,44933,0.25,,,,,,
10032,New York,57331,62685,0.09,0.007,34.2,0.68,37280,0.29,,,,,,
10031,New York,56438,59244,0.05,0.007,33.8,0.72,39774,0.25,,,,,,
10030,New York,26999,29209,0.08,0.003,34.1,0.78,33196,0.29,,,,,,
10029,New York,76003,79251,0.04,0.009,33.3,0.76,31350,0.31,,,,,,
10028,New York,45141,46883,0.04,0.005,39.6,0.98,114939,0.05,,,,,,
10027,New York,59707,64413,0.08,0.007,30.2,0.82,40782,0.32,,,,,,
10026,New York,34003,38310,0.13,0.004,34.2,0.81,47264,0.29,,,,,,
10025,New York,94600,96068,0.02,0.011,40.3,0.90,74065,0.16,,,,,,
10024,New York,59283,58391,-0.02,0.007,42.5,0.94,113839,0.07,,,,,,
10023,New York,60998,60586,-0.01,0.007,42.1,0.97,111478,0.08,,,,,,
10022,New York,31924,30607,-0.04,0.004,45.5,0.98,126378,0.05,,,,,,
10021,New York,43631,43573,0.00,0.005,39.5,0.98,115076,0.06,,,,,,
10020,New York,,,,,,,,,,,,,,
10019,New York,42870,38830,-0.09,0.004,39.2,0.94,94022,0.12,,,,,,
10018,New York,5229,9168,0.75,0.001,30.7,0.94,105500,0.15,,,,,,
10017,New York,16575,16472,-0.01,0.002,37.4,0.98,106421,0.08,,,,,,
10016,New York,54183,50641,-0.07,0.006,33.4,0.97,104826,0.10,,,,,,
10014,New York,31959,30727,-0.04,0.004,37,0.99,113973,0.06,,,,,,
10013,New York,27700,27415,-0.01,0.003,36.9,0.81,96667,0.12,,,,,,
10012,New York,24090,24163,0.00,0.003,34.2,0.94,100859,0.10,,,,,,
10011,New York,50984,52349,0.03,0.006,39.5,0.95,109818,0.09,,,,,,
10010,New York,31834,31447,-0.01,0.004,34.6,0.96,101718,0.15,,,,,,
10009,New York,61347,60865,-0.01,0.007,37,0.85,59090,0.23,,,,,,
10008,New York,,,,,,,,,,,,,,
10007,New York,6988,6876,-0.02,0.001,35.4,0.95,,0.03,,,,,,
10006,New York,3011,3110,0.03,,31.4,0.99,123691,0.08,,,,,,
10005,New York,7135,8131,0.14,0.001,29.4,0.99,124194,0.11,,,,,,
10004,New York,3089,3221,0.04,,33.1,0.99,119691,0.07,,,,,,
10003,New York,56024,57112,0.02,0.007,32.1,0.97,98151,0.10,,,,,,
10002,New York,81410,80736,-0.01,0.009,40.8,0.68,33726,0.30,,,,,,
10001,New York,21102,23537,0.12,0.003,35.6,0.92,86801,0.20,,,,,,
,,,,,,,,,,,,,,,
